STORE_TYPE,STORE_NAME,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,PHONE,HOURS,SNAP,SIC,NAICS_EXT,SALES_VOL,HDBRCH,NUMBER_EMP,EMPSIZ,FRNCOD,SQFT,SOURCE,POINT_X,POINT_Y,HCSI,NBHD_NAME,COUNCIL_DISTRICT,GLOBALID
Small Grocery Store,Athmar Market,,1789 W Mississippi Ave,,Denver,CO,80223,(303) 936-0204,,,541101,445110,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.008982,39.697067,,Athmar Park,Council District 7,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,New Saigon Market,,1076 S Federal Blvd,,Denver,CO,80219,(303) 937-7271,,,541105,445110,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.024726,39.697494,,Athmar Park,Council District 7,{00000000-0000-0000-0000-000000000000}
Supermarket,Pacific Ocean Intl Supermarket,,2200 W Alameda Ave # 2b,,Denver,CO,80223,(303) 936-4845,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.01385,39.710074,,Athmar Park,Council District 7,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Alpine Sausage Co.,,1272 W. Alaska Pl.,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.003363,39.708189,,Athmar Park,Council District 7,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Baker's Palace,,550 S. Federal Blvd.,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024689,39.706649,,Athmar Park,Council District 7,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,La Noria Carniceria Taqueria,,1931 W Mississippi Ave,,Denver,CO,80223,(303) 922-3388,,,542107,445210,1051000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.01173,39.697414,,Athmar Park,Council District 7,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,New Saigon Bakery & Deli,,640 S. Federal Blvd.,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024691,39.704777,,Athmar Park,Council District 7,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Panaderia Castaneda,,1925 W. Mississippi Ave.,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.01163,39.697336,,Athmar Park,Council District 7,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Vinh Xyong Bakery,,2370 W. Alameda Ave.,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.015316,39.710956,,Athmar Park,Council District 7,{00000000-0000-0000-0000-000000000000}
Superette,Store Perez  1 Carcineria,,490 S Federal Blvd,,Denver,CO,80219,(303) 936-3264,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.024692,39.707717,,Athmar Park,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,567 E LOUISIANA AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.980747,39.693225,,Platt Park,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Barn Store,,1696 S BROADWAY,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.987154,39.686022,,Platt Park,Council District 7,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Azucar Sweet Shop & Bakery,,1886 S Broadway,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.987197,39.682478,,Platt Park,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,2396 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024681,39.673642,,College View - South Platte,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,2950 W EVANS AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.023673,39.678231,,College View - South Platte,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Bradley Petroleum,,1121 E ALAMEDA AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.97371,39.711354,,Speer,Council District 7,{00000000-0000-0000-0000-000000000000}
Dollar Store,Family Dollar,,460 Broadway,,Denver,CO,80203,(303) 744-3900,,,533101,452990,1185000.0,,7.0,5 to 9,,"2,500 - 9,999",InfoGroup2014,-104.987132,39.723507,,Speer,Council District 7,{00000000-0000-0000-0000-000000000000}
Pharmacy,Walgreen,,120 N BROADWAY,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.987212,39.718942,,Speer,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Conoco West Evans,,2110 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024611,39.678227,,College View - South Platte,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Diamond Shamrock,,2680 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024686,39.668289,,College View - South Platte,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,United Mart,,2098 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024599,39.679041,,College View - South Platte,Council District 7,{00000000-0000-0000-0000-000000000000}
Dollar Store,Family Dollar,,2792 S Federal Blvd,,Denver,CO,80236,(303) 789-4501,,,533101,452990,1354000.0,,8.0,5 to 9,,"2,500 - 9,999",InfoGroup2014,-105.024498,39.665958,,College View - South Platte,Council District 7,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Campos Market,,2135 W EVANS AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.01233,39.678958,,College View - South Platte,Council District 7,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Super Carniceria Compare,,2796 S Federal Blvd,,Denver,CO,80236,(303) 761-4430,,,531104,452112,1761000.0,,8.0,5 to 9,,"40,000+",InfoGroup2014,-105.024497,39.665889,,College View - South Platte,Council District 7,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Las 3 Americas Tortilleria,,2170 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024578,39.677453,,College View - South Platte,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,1450 S Santa Fe Dr,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.991842,39.690383,,Overland,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,1585 S BROADWAY,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.987919,39.687813,,Overland,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Barn Store,,1201 S BROADWAY,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.987845,39.694497,,Overland,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Circle K,,411 W Florida Ave,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.993027,39.689902,,Overland,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,AA&H Diamond,,2360 W. Mississippi Ave.,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.015255,39.696475,,Ruby Hill,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Florida Gas Station,,1498 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024597,39.689751,,Ruby Hill,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Texaco (Super Save),,1506 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024568,39.68924,,Ruby Hill,Council District 7,{00000000-0000-0000-0000-000000000000}
Dollar Store,Family Dollar,,1320 S Federal Blvd,,Denver,CO,80219,(303) 727-7585,,,533101,452990,846000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.024278,39.692229,,Ruby Hill,Council District 7,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Store Perez,,1798 W Mississippi Ave,,Denver,CO,80223,(303) 936-5946,,,541105,445110,1032000.0,,4.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.008432,39.69646,,Ruby Hill,Council District 7,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Lowes Mercado,,1320 S Federal Blvd,,Denver,CO,80219,(303) 922-7412,,,541105,445110,21932000.0,,85.0,50 to 99,,"2,500 - 9,999",InfoGroup2014,-105.024279,39.692228,,Ruby Hill,Council District 7,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Tortilleria Colorado,,2050 W. Mississippi Ave.,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.013339,39.696508,,Ruby Hill,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store,First Avenue Market,,305 W 1st Ave,,Denver,CO,80223,(303) 744-1095,,,541105,445110,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.99238,39.718495,,Baker,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store,La Tiendita,,713 W 4th Ave,,Denver,CO,80223,(303) 534-1114,,,541105,445110,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.996832,39.722832,,Baker,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store,Sunrise Foods,,421 W 4TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.993653,39.722832,,Baker,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,303 N SANTA FE DR,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.998948,39.721191,,Baker,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,303 N BROADWAY,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.987987,39.721292,,Baker,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,85 W. Alameda Ave.,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.989619,39.711488,,Baker,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Barn Store,,295 S BROADWAY,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.98798,39.711519,,Baker,Council District 7,{00000000-0000-0000-0000-000000000000}
Dollar Store,Dollar Tree,,407 S Broadway # 400,,Denver,CO,80209,(303) 733-3965,,,533101,452990,1862000.0,,11.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-104.987624,39.709042,,Baker,Council District 7,{00000000-0000-0000-0000-000000000000}
Supermarket,Albertsons,,323 S Broadway,,Denver,CO,80209,(303) 744-8660,,,541105,445110,28382000.0,,110.0,100 to 249,,"40,000+",InfoGroup2014,-104.987652,39.710492,,Baker,Council District 7,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Colorado Nut Company,,2 N. Kalamath St.,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.999843,39.716841,,Baker,Council District 7,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Denver Urban Homesteading,,200 N SANTA FE DR,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99827,39.719566,,Baker,Council District 7,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Lamar's Donuts,,990 W. 6th Ave.,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99955,39.725465,,Baker,Council District 7,{00000000-0000-0000-0000-000000000000}
Warehouse Club Store,Sams Club,,505 S Broadway,,Denver,CO,80209,(303) 722-2152,,,531110,452910,33025000.0,,150.0,100 to 249,,"40,000+",InfoGroup2014,-104.98769,39.707349,,Baker,Council District 7,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Sprouts Farmers Market,,197 E Mississippi Ave,,Denver,CO,80209,(720) 458-2873,,,,,,,,,,,DEH2015,-104.985286,39.696866,,Washington Park West,Council District 7,{00000000-0000-0000-0000-000000000000}
Supermarket,Whole Foods,,1111 S Washington St,,Denver,CO,80210,(303) 733-6201,,,541105,445110,11611000.0,,45.0,20 to 49,,"2,500 - 9,999",InfoGroup2014,-104.979828,39.695707,,Washington Park West,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,607 E ALAMEDA AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.980187,39.711262,,Speer,Council District 7,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Panaderia Mexico,,3637 W 1ST AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.035754,39.718394,,Barnum,Council District 3,{00000000-0000-0000-0000-000000000000}
Superette,Carniceria Zacatecas,,70 Knox Ct,,Denver,CO,80219,(303) 934-0681,,,542107,445210,420000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.032103,39.717874,,Barnum,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,AB Petroleum,,502 N SHERIDAN BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.052758,39.724332,,Barnum West,Council District 3,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Carniceria Guadalajara,,5185 W 1st Ave,,Denver,CO,80219,(303) 937-7132,,,541105,445110,1548000.0,,6.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.052728,39.718594,,Barnum West,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store,Villa Park Market,,1000 Knox Ct,,Denver,CO,80204,,,,,,,,,,,,,-105.031798,39.733181,,Villa Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Bradley Petroleum,,1015 N SHERIDAN BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.053571,39.733348,,Villa Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Dollar Store,Family Dollar,,998 Sheridan Blvd,,Denver,CO,80214,(720) 904-6899,,,533101,452990,1016000.0,,6.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.052615,39.732877,,Villa Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Fruteria LA Mexicana,,706 Sheridan Blvd,,Denver,CO,80214,(303) 825-3370,,,542107,445210,1051000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.052572,39.728345,,Villa Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Perry Market,,3925 W 6TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.03902,39.725867,,Villa Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,3445 W Colfax Ave,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.032772,39.740619,,West Colfax,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,1490 N PERRY ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.038966,39.740065,,West Colfax,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store,Q Superette K,,3519 W COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.033857,39.740617,,West Colfax,Council District 3,{00000000-0000-0000-0000-000000000000}
Dollar Store,Family Dollar,,1845 Federal Blvd # B,,Denver,CO,80204,(303) 477-2331,,,533101,452990,1016000.0,,6.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.025248,39.745646,,West Colfax,Council District 3,{00000000-0000-0000-0000-000000000000}
Closed Small Grocery Store,Mi Pueblo Market,,3200 West Colfax,,,,,303-865-4399,,,,,,,,,,,OED,-105.0279211,39.739915,,West Colfax,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store,American Way Market,,1115 W 11th Ave,,Denver,CO,80204,(303) 825-0970,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.002033,39.733811,,Lincoln Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store,Rio Grande Grocery Store,,1133 W 8th Ave,,Denver,CO,80204,(303) 628-0622,,,541105,445110,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.002436,39.729132,,Lincoln Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store,Santa Fe Convenience Store,,698 N SANTA FE DR,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.998287,39.727135,,Lincoln Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store,U Mart Food Store,,925 W 8th Ave,,Denver,CO,80204,,,,,,,,,,,,,-104.999236,39.729113,,Lincoln Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,1107 N. Santa Fe Dr.,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99891,39.733957,,Lincoln Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,AB Petroleum,,620 N SANTA FE DR,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.998283,39.726171,,Lincoln Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Circle K,,1300 W. Colfax Ave.,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.003606,39.739656,,Lincoln Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Pharmacy,Smith's Food & Drug Ctr,,869 Santa Fe Dr,,Denver,CO,80204,(303) 534-0123,,,541105,445110,1290000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-104.998827,39.730217,,Lincoln Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Supermarket,King Soopers,,1331 Speer Blvd,,Denver,CO,80204,(303) 571-1943,,,541105,445110,25802000.0,,100.0,100 to 249,,"40,000+",InfoGroup2014,-104.997834,39.737656,,Lincoln Park,Council District 3,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,K-Stop Gas and Groceries,,4305 S LOWELL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.035098,39.638189,,Fort Logan,Council District 2,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,2790 S WADSWORTH BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.080714,39.665716,,Bear Valley,Council District 2,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,1st Stop,,2900 S WADSWORTH BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.080782,39.663939,,Bear Valley,Council District 2,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Bear Valley Conoco,,3097 S SHERIDAN BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.053595,39.65649,,Bear Valley,Council District 2,{00000000-0000-0000-0000-000000000000}
Supermarket,Walmart,,3125 S Sheridan Blvd,,Denver,CO,80227,(303) 985-0217,,,531102,452111,50638000.0,,230.0,100 to 249,,"40,000+",InfoGroup2014,-105.054417,39.655333,,Bear Valley,Council District 2,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Bradley Petroleum,,5100 W DARTMOUTH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.049785,39.656275,,Harvey Park South,Council District 2,{00000000-0000-0000-0000-000000000000}
Dollar Store,Dollar Tree,,3100 S Sheridan Blvd,,Denver,CO,80227,(303) 934-4820,,,533101,452990,1862000.0,,11.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-105.052766,39.654617,,Harvey Park South,Council District 2,{00000000-0000-0000-0000-000000000000}
Supermarket,King Soopers,,3100 S Sheridan Blvd # 200,,Denver,CO,80227,(303) 937-4400,,,541105,445110,61925000.0,,240.0,100 to 249,,"40,000+",InfoGroup2014,-105.048303,39.655654,,Harvey Park South,Council District 2,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,2201 S SHERIDAN BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.053673,39.675409,,Harvey Park,Council District 2,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Country Gas,,3100 W JEWELL AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.025915,39.680409,,Harvey Park,Council District 2,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Phillips Petroleum Co,,1901 S SHERIDAN BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.053721,39.681918,,Harvey Park,Council District 2,{00000000-0000-0000-0000-000000000000}
Dollar Store,Family Dollar,,2085 S Federal Blvd,,Denver,CO,80219,(303) 936-6565,,,533101,452990,1185000.0,,7.0,5 to 9,,"2,500 - 9,999",InfoGroup2014,-105.026128,39.680382,,Harvey Park,Council District 2,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Leever's / Save A Lot,,1951 S Federal Blvd,,Denver,CO,80219,(303) 407-0430,,,541105,445110,4386000.0,,17.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-105.026088,39.680444,,Harvey Park,Council District 2,{00000000-0000-0000-0000-000000000000}
Closed Supermarket,Safeway,,1955 S Sheridan Blvd,,Denver,CO,80227,(303) 989-9892,,,541105,445110,21932000.0,,85.0,50 to 99,,"2,500 - 9,999",InfoGroup2014,-105.054618,39.681331,,Harvey Park,Council District 2,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Encanto Botanica,,2039 S Federal Blvd,,Denver,CO,80219,(303) 935-2470,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.026128,39.680382,,Harvey Park,Council District 2,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,San Antonia Fresh Mexican Bakery & Juice Bar,,2007 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.026128,39.680382,,Harvey Park,Council District 2,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Nooch Vegan Market,,10 E Ellsworth Ave,,Denver,CO,80209,(720) 328-5324,,,541101,445110,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.987035,39.716467,,Speer,Council District 7,{00000000-0000-0000-0000-000000000000}
Convenience Store,Vincent Convenience Market,,1906 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.964408,39.739861,,Cheesman Park,Council District 10,{00000000-0000-0000-0000-000000000000}
Dollar Store,Family Dollar,,1700 E Colfax Ave,,Denver,CO,80218,(303) 321-0180,,,533101,452990,846000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-104.966873,39.73968,,Cheesman Park,Council District 10,{00000000-0000-0000-0000-000000000000}
Pharmacy,Walgreen,,2000 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.963127,39.739432,,Cheesman Park,Council District 10,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,AB Petroleum,,303 S COLORADO BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.941064,39.711075,,Belcaro,Council District 10,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Waterway Gas & Wash,,3875 E CHERRY CREEK NORTH DR,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.941826,39.707729,,Belcaro,Council District 10,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Conoco,,505 E SPEER BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.980738,39.722298,,Speer,Council District 10,{00000000-0000-0000-0000-000000000000}
Supermarket,Safeway,,560 Corona St,,Denver,CO,80218,(303) 777-1231,,,541105,445110,18061000.0,,70.0,50 to 99,,"2,500 - 9,999",InfoGroup2014,-104.973509,39.724981,,Speer,Council District 10,{00000000-0000-0000-0000-000000000000}
Supermarket,Trader Joe's,,661 Logan Street,,Denver,CO,80203,(303) 318-7112,,,,,,,,,,,OED,-104.982416,39.726632,,Speer,Council District 10,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,7-Eleven,,580 N JOSEPHINE ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.95793,39.725418,,Cherry Creek,Council District 10,{00000000-0000-0000-0000-000000000000}
Pharmacy,Rite Aid,,3112 E 1ST AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.951081,39.7174,,Cherry Creek,Council District 10,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Continental's Deli,,250 N STEELE ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.949465,39.720399,,Cherry Creek,Council District 10,{00000000-0000-0000-0000-000000000000}
Supermarket,Whole Foods,,2375 E 1st Ave # West,,Denver,CO,80206,(720) 941-4100,,,541105,445110,77407000.0,,300.0,250 to 499,,"40,000+",InfoGroup2014,-104.956783,39.718799,,Cherry Creek,Council District 10,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Duke's Corner Store,,2727 E 2nd Ave,,Denver,CO,80206,(303) 955-7663,,,539901,452990,496000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.954959,39.719513,,Cherry Creek,Council District 10,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Penzeys Spices,,200 Fillmore St,,Denver,CO,80206,(303) 329-0570,,,549902,445299,229000.0,,2.0,1 to 4,,"2,500 - 9,999",InfoGroup2014,-104.953099,39.719793,,Cherry Creek,Council District 10,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Truffle,,2906 E 6th Ave,,Denver,CO,80206,(303) 322-7363,,,545103,445299,318000.0,,4.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.953133,39.725492,,Cherry Creek,Council District 10,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,Oliver's Meat Market,,1718 E 6th Ave,,Denver,CO,80218,(303) 733-4629,,,542107,445210,840000.0,,4.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.966604,39.725452,,Country Club,Council District 10,{00000000-0000-0000-0000-000000000000}
Convenience Store With Gas,Conoco,,785 N COLORADO BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.941079,39.72879,,Congress Park,Council District 10,{00000000-0000-0000-0000-000000000000}
Pharmacy,Capitol Heights Pharmacy,,1200 N MADISON ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.945841,39.735258,,Congress Park,Council District 10,{00000000-0000-0000-0000-000000000000}
Small Grocery Store,Pappas Grocery Store - 12th Avenue Market & Deli,,2620 E 12th Ave,,Denver,CO,80206,(303) 333-7094,,,541105,445110,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.955825,39.735051,,Congress Park,Council District 10,{00000000-0000-0000-0000-000000000000}
Specialty Food Store,New World Cheese,,2504 E Colfax Ave,,Denver,CO,,,,,,,,,,,,,DEH2015,-104.957134,39.739978,,Congress Park,Council District 10,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,1090 N OGDEN ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.97501,39.733512,,Capitol Hill,Council District 10,{00000000-0000-0000-0000-000000000000}
Convenience Store,7-Eleven,,1000 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.975104,39.73986,,Capitol Hill,Council District 10,{00000000-0000-0000-0000-000000000000}
Convenience Store,Capitol Hill Market,,638 E Colfax Ave,,Denver,CO,80203,(303) 832-3003,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.979001,39.739775,,Capitol Hill,Council District 10,{00000000-0000-0000-0000-000000000000}
Convenience Store,City Store,,1100 Broadway,,Denver,CO,80203,(303) 863-1700,,,541105,445110,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.987263,39.733915,,Capitol Hill,Council District 10,{00000000-0000-0000-0000-000000000000}
Convenience Store,Jack Market,,518 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.980646,39.73984,,Capitol Hill,Council District 10,{00000000-0000-0000-0000-000000000000}
Convenience Store,Zak Market,,424 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.981487,39.739734,,Capitol Hill,Council District 10,{00000000-0000-0000-0000-000000000000}
Supermarket,King Soopers,,1155 E 9th Ave # A,,Denver,CO,80218,(303) 832-5262,,,541105,445110,46444000.0,,180.0,100 to 249,,"40,000+",InfoGroup2014,-104.973777,39.731541,,Capitol Hill,Council District 10,{00000000-0000-0000-0000-000000000000}
